time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 11:58:36 +0100;
    0.000100;   -39.118973;     1.142169;     2.665427; ; 
    0.000200;   -38.927138;     1.027002;     2.592247; ; 
    0.000300;   -39.153852;     0.928288;     2.738607; ; 
    0.000400;   -38.770182;     0.336004;     2.519067; ; 
    0.000500;   -39.031776;     0.500528;     2.592247; ; 
    0.000600;   -39.031776;     0.549885;     2.372707; ; 
    0.000700;   -38.962017;     0.730860;     2.226347; ; 
    0.000800;   -38.927138;     0.944741;     2.372707; ; 
    0.000900;   -39.188732;     0.648599;     2.519067; ; 
    0.001000;   -39.014336;     0.846027;     2.445887; ; 
    0.001100;   -38.979457;     0.895384;     2.372707; ; 
    0.001200;   -38.892259;     0.977645;     2.519067; ; 
    0.001300;   -38.892259;     1.043455;     2.592247; ; 
    0.001400;   -38.857380;     0.928288;     2.299527; ; 
    0.001500;   -38.578347;     1.323144;     2.445887; ; 
    0.001600;   -39.084094;     1.372501;     2.372707; ; 
    0.001700;   -39.118973;     1.257335;     2.519067; ; 
    0.001800;   -39.153852;     0.780217;     2.519067; ; 
    0.001900;   -38.962017;    -0.042399;     2.884967; ; 
    0.002000;   -38.962017;     0.056315;     2.372707; ; 
    0.002100;   -38.839941;     0.615694;     2.445887; ; 
    0.002200;   -38.822501;     1.207978;     2.592247; ; 
    0.002300;   -38.874820;     1.388954;     2.519067; ; 
    0.002400;   -38.944578;     1.027002;     2.372707; ; 
    0.002500;   -38.752743;     0.862479;     2.445887; ; 
    0.002600;   -39.031776;     0.813122;     2.445887; ; 
    0.002700;   -39.031776;     0.780217;     2.445887; ; 
    0.002800;   -39.066655;     0.878931;     2.372707; ; 
    0.002900;   -38.857380;     0.615694;     2.372707; ; 
    0.003000;   -38.874820;     0.895384;     2.445887; ; 
    0.003100;   -38.874820;     0.878931;     2.445887; ; 
    0.003200;   -38.787622;     0.862479;     2.226347; ; 
    0.003300;   -38.874820;     0.747313;     2.372707; ; 
    0.003400;   -38.752743;     0.220838;     2.226347; ; 
    0.003500;   -38.944578;     0.319552;     2.519067; ; 
    0.003600;   -38.839941;     0.566337;     2.372707; ; 
    0.003700;   -39.066655;     0.813122;     2.738607; ; 
    0.003800;   -38.909699;     0.911836;     2.445887; ; 
    0.003900;   -38.944578;     0.961193;     2.079987; ; 
    0.004000;   -38.770182;     0.763765;     2.299527; ; 
    0.004100;   -38.839941;     0.730860;     2.445887; ; 
    0.004200;   -38.787622;     0.862479;     2.226347; ; 
    0.004300;   -38.927138;     0.928288;     2.445887; ; 
    0.004400;   -38.839941;     1.027002;     2.592247; ; 
    0.004500;   -38.892259;     1.027002;     2.665427; ; 
    0.004600;   -38.805061;     0.994098;     2.153167; ; 
    0.004700;   -38.927138;     0.862479;     2.079987; ; 
    0.004800;   -38.770182;     0.566337;     2.006807; ; 
    0.004900;   -38.770182;     0.434718;     2.372707; ; 
    0.005000;   -38.770182;     0.566337;     2.519067; ; 
    0.005100;   -38.648105;     0.681503;     2.372707; ; 
    0.005200;   -38.735303;     0.763765;     2.519067; ; 
    0.005300;   -38.822501;     0.763765;     2.519067; ; 
    0.005400;   -38.857380;     0.484075;     2.519067; ; 
    0.005500;   -38.822501;     0.467623;     2.519067; ; 
    0.005600;   -39.049215;     0.730860;     2.445887; ; 
    0.005700;   -39.171292;     0.763765;     2.006807; ; 
    0.005800;   -38.874820;     0.697956;     2.079987; ; 
    0.005900;   -39.014336;     0.599242;     2.153167; ; 
    0.006000;   -38.665545;     0.665051;     2.299527; ; 
    0.006100;   -38.700424;     0.747313;     2.299527; ; 
    0.006200;   -38.735303;     0.681503;     2.226347; ; 
    0.006300;   -38.822501;     0.730860;     2.372707; ; 
    0.006400;   -38.979457;     0.796670;     2.226347; ; 
    0.006500;   -38.944578;     0.846027;     2.372707; ; 
    0.006600;   -39.049215;     1.010550;     2.592247; ; 
    0.006700;   -38.787622;     1.092812;     2.445887; ; 
    0.006800;   -38.787622;     1.175073;     2.665427; ; 
    0.006900;   -38.717864;     0.961193;     2.226347; ; 
    0.007000;   -38.700424;     0.665051;     2.299527; ; 
    0.007100;   -38.805061;     0.763765;     2.299527; ; 
    0.007200;   -38.805061;     0.862479;     2.519067; ; 
    0.007300;   -38.944578;     0.994098;     2.445887; ; 
    0.007400;   -38.839941;     1.092812;     2.519067; ; 
    0.007500;   -38.874820;     1.010550;     2.445887; ; 
    0.007600;   -38.822501;     0.961193;     2.372707; ; 
    0.007700;   -38.682985;     0.780217;     2.372707; ; 
    0.007800;   -38.613226;     0.418266;     2.372707; ; 
    0.007900;   -38.560908;     0.220838;     2.519067; ; 
    0.008000;   -38.665545;     0.566337;     2.445887; ; 
    0.008100;   -38.717864;     0.994098;     2.226347; ; 
    0.008200;   -38.857380;     1.257335;     2.372707; ; 
    0.008300;   -39.031776;     1.027002;     2.079987; ; 
    0.008400;   -38.892259;     0.730860;     2.884967; ; 
    0.008500;   -38.909699;     0.714408;     2.445887; ; 
    0.008600;   -38.630666;     0.862479;     2.519067; ; 
    0.008700;   -38.648105;     1.027002;     2.445887; ; 
    0.008800;   -38.613226;     1.142169;     2.519067; ; 
    0.008900;   -38.526029;     1.158621;     2.153167; ; 
    0.009000;   -38.682985;     1.191526;     2.153167; ; 
    0.009100;   -38.752743;     1.027002;     2.299527; ; 
    0.009200;   -38.909699;     0.516980;     2.592247; ; 
    0.009300;   -39.014336;     0.056315;     3.104507; ; 
    0.009400;   -38.735303;    -0.206923;     2.592247; ; 
    0.009500;   -38.752743;     0.533432;     2.519067; ; 
    0.009600;   -38.682985;     0.895384;     2.592247; ; 
    0.009700;   -38.630666;     1.142169;     2.226347; ; 
    0.009800;   -38.543468;     1.027002;     2.226347; ; 
    0.009900;   -38.700424;     0.665051;     2.226347; ; 
    0.010000;   -38.857380;     0.862479;     2.372707; ; 
    0.010100;   -38.822501;     0.944741;     3.031327; ; 
    0.010200;   -38.927138;     1.059907;     2.519067; ; 
    0.010300;   -38.822501;     1.158621;     2.153167; ; 
    0.010400;   -38.839941;     1.027002;     2.153167; ; 
    0.010500;   -38.822501;     0.944741;     2.226347; ; 
    0.010600;   -38.648105;     0.977645;     2.372707; ; 
    0.010700;   -38.700424;     0.582789;     2.445887; ; 
    0.010800;   -38.613226;     0.319552;     2.372707; ; 
    0.010900;   -38.752743;     0.220838;     2.299527; ; 
    0.011000;   -38.839941;     0.336004;     2.519067; ; 
    0.011100;   -38.822501;     0.648599;     2.519067; ; 
    0.011200;   -38.996897;     0.780217;     2.665427; ; 
    0.011300;   -38.839941;     0.813122;     2.299527; ; 
    0.011400;   -38.735303;     0.599242;     2.153167; ; 
    0.011500;   -38.909699;     0.697956;     2.372707; ; 
    0.011600;   -38.630666;     0.763765;     2.445887; ; 
    0.011700;   -38.665545;     0.895384;     2.592247; ; 
    0.011800;   -38.717864;     0.862479;     2.519067; ; 
    0.011900;   -38.839941;     0.780217;     2.519067; ; 
    0.012000;   -38.839941;     0.681503;     2.006807; ; 
    0.012100;   -38.682985;     0.780217;     2.445887; ; 
    0.012200;   -39.066655;     0.928288;     2.372707; ; 
    0.012300;   -38.613226;     1.010550;     2.592247; ; 
    0.012400;   -38.700424;     0.829574;     2.665427; ; 
    0.012500;   -38.508589;     0.780217;     2.445887; ; 
    0.012600;   -38.526029;     0.846027;     2.665427; ; 
    0.012700;   -38.595787;     0.944741;     2.445887; ; 
    0.012800;   -38.595787;     0.878931;     2.519067; ; 
    0.012900;   -38.857380;     0.730860;     2.299527; ; 
    0.013000;   -38.787622;     0.911836;     2.811787; ; 
    0.013100;   -38.996897;     0.878931;     2.958147; ; 
    0.013200;   -38.944578;     0.977645;     2.519067; ; 
    0.013300;   -38.787622;     1.027002;     2.738607; ; 
    0.013400;   -38.805061;     0.928288;     2.372707; ; 
    0.013500;   -38.578347;     1.059907;     2.592247; ; 
    0.013600;   -38.682985;     0.944741;     2.738607; ; 
    0.013700;   -38.630666;     0.697956;     2.665427; ; 
    0.013800;   -38.717864;     0.467623;     2.665427; ; 
    0.013900;   -38.752743;     0.434718;     2.299527; ; 
    0.014000;   -38.909699;     0.796670;     2.372707; ; 
    0.014100;   -38.787622;     1.125716;     2.445887; ; 
    0.014200;   -38.857380;     1.191526;     2.665427; ; 
    0.014300;   -38.630666;     0.994098;     3.031327; ; 
    0.014400;   -38.595787;     0.829574;     2.811787; ; 
    0.014500;   -38.526029;     0.763765;     2.811787; ; 
    0.014600;   -38.595787;     0.977645;     2.079987; ; 
    0.014700;   -38.805061;     1.059907;     2.445887; ; 
