Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,2.47435,1.64091,1.25474
0.0002,2.45116,2.07999,1.48778
0.0003,2.43957,1.42137,1.62569
0.0004,2.46938,1.64091,1.6161
0.0005,2.47821,1.71409,1.65006
0.0006,2.47751,1.56773,1.67989
0.0007,2.47435,2.07999,1.68377
0.0008,2.47319,1.78727,1.65111
0.0009,2.47946,1.71409,1.65166
0.001,2.47892,2.07999,1.67396
0.0011,2.476,1.93363,1.67565
0.0012,2.47283,2.15317,1.68304
0.0013,2.48061,1.27501,1.69411
0.0014,2.48336,1.64091,1.70308
0.0015,2.48274,1.86045,1.69996
0.0016,2.4822,1.64091,1.69671
0.0017,2.48383,1.49455,1.70159
0.0018,2.48826,1.56773,1.70814
0.0019,2.48986,1.34819,1.72549
0.002,2.48906,1.71409,1.75029
0.0021,2.49004,1.42137,1.76404
0.0022,2.49255,2.15317,1.77249
0.0023,2.49483,1.64091,1.75351
0.0024,2.49433,1.71409,1.73951
0.0025,2.49067,1.86045,1.74624
0.0026,2.49071,1.56773,1.74189
0.0027,2.49141,1.71409,1.73763
0.0028,2.49237,1.64091,1.73567
0.0029,2.49601,1.64091,1.73229
0.003,2.49233,1.86045,1.70543
0.0031,2.49373,1.56773,1.67485
0.0032,2.49533,2.07999,1.67901
0.0033,2.49575,1.64091,1.68254
0.0034,2.49589,1.93363,1.67244
0.0035,2.49527,1.64091,1.66844
0.0036,2.49615,1.78727,1.666
0.0037,2.49841,2.37271,1.66003
0.0038,2.4973,1.93363,1.65904
0.0039,2.49625,1.71409,1.66152
0.004,2.49394,1.71409,1.66559
0.0041,2.49474,1.64091,1.67205
0.0042,2.49635,2.88497,1.67949
0.0043,2.49542,1.49455,1.6888
0.0044,2.49374,1.56773,1.69967
0.0045,2.49291,1.78727,1.69758
0.0046,2.49365,1.71409,1.69377
0.0047,2.49398,2.81179,1.70034
0.0048,2.49338,1.42137,1.69933
0.0049,2.49299,1.64091,1.69746
0.005,2.49262,1.93363,1.70231
